厶臼頁·堂	skip1 tong4
阿·厶央生¯·	aa3 sjaang1
阿·亻厶央生·	aa3 sjaang1
并央丐·口水	pjoi hau2 seoi2
禾子¯·厶云⁼·	wi1 san4
忄禾子·忄厶云·	wi1 san4
黹禾子·黹厶云·	wi1 san4
乍``·天尺¯·	aa3 tek1
乍`戈·天尺戈·	aa3 tek1
勺``·亾丌`·	oek3 hei3
口勺`·亾丌`·	oek3 hei3
忄夫么·	fiu1
扌爻丂·	ngaau1
夫円¯．厶子´．	fen1 si2
亻夫円．亻厶子．	fen1 si2
辶厶円．	sen1
比介．大乍．禾丌．	baai daa wei
尼	ne1
㕦	got1
㕦	god1
旡	ge3
囻	gwok3
恁	gam3
野	je5
徂	zo2
倛	dei6
黎	lei4
蒞	lei4
爾	ji4
邇	ji1
曬	saai3
姐	ze1
啫	zek1
嗟	zek1
亾	he3
彳固·	go2
个	go2
亇	go2
ケ	go2
亙	gan2
嚕	lu1
啝	wo5
少々·	di1
袂	mai5
五係·	mai3
工耳·	gam2
彳糸·	hai2
正岩·	ngaam1
自由·	zi6 jau4
係·五係·	hai6 mai6
係·五係·先	hai6 mai6 sin1
係·五係·真嘅	hai6 mai6 zan1 ge3
佢係·五係·	keoi5 hai6 mai6
好·五好·	hou2 mou2
可·五可·以	ho2 mo2 ji5
亻爻个·	ngo5
亻央云·	jan4
忄亾丌·忄央乙·	hei2 jyut6
Facebook	feis buk
夫丌·厶`·比玉·	feis buk
Instagram	ins taa gwem
Instagram	in staa gwem
千厶·天乍·古壬·	ins taa gwem
千`·厶天乍·古壬·	in staa gwem
Twitter	twit taa
天禾必·天乍·	twit taa
Whatsapp	wots ep
Whatsapp	wots eep
Whatsapp	wots ngep
Whatsapp	wot sep
禾匃·厶`·夾`·	wots ep
禾匃·厶`·旡夾·	wots eep
禾匃·厶`·爻夾·	wots ngep
禾匃·厶夾·	wot sep
Telegram	te le gwem
天旡·力旡·古壬·	te le gwem
Youtube	ju tub
Youtube	jyu tub
Youtube	ju tu ap
Youtube	jyu tu ap
央乎·天乎·比`·	ju tub
央仒·天乎·比`·	jyu tub
央乎·天乎·十`·	ju tu ap
央仒·天乎·十`·	jyu tu ap
comment	ko men
訁臼个·訁文円·	ko men
訁臼个·訁文`·訁文円·	kom men
訁臼今·訁文円·	kam men
忄力兮·	lai1
share	she aa
share	se aa
厶亾旡·乍`·	she aa
厶旡·乍`·	se aa
Google Drive	gu gou zu aaif
Google Drive	gu gou zu waai fu
丩乎·丩冇·止乎·介夫·	gu gou zu aaif
丩乎·丩冇·止乎·禾介·夫乎·	gu gou zu waai fu
Brian	bwaai an
Brian	bwaai jan
比禾介·云`·	bwaai an
比禾介·央云·	bwaai jan
Trump	cu am
此乎·今`·	cu am
Trump	twamp
天禾今·并`·	twamp
Trump	twam
天禾今·	twam
臼旡·乍`·	ke aa
fair	fe aa
夫旡·乍`·	fe aa
complain	kam pling
complain	kom pling
complain	kam plein
complain	kom plein
訁臼今·訁并力丁·	kam pling
訁臼个·訁文`·訁并力丁·	kom pling
訁臼今·訁并力丌·訁乃`·	kam plein
訁臼个·訁文`·訁并力丌·訁乃`·	kom plein
stake	stik
厶天夕·	stik
train	twing
train	twein
天禾丁·	twing
天禾丌·乃`·	twein
車天禾丁·	twing
車天禾丌·車乃`·	twein
structure	sdwak coe
厶大禾仄·此居	sdwak coe
木厶大禾仄·木此居	sdwak coe
亻并乍·亻天子·	paa ti
氵禾叐·	wet
slut	slat
亻厶力乜·	slat
whore	ho aa
亾个·乍`·	ho aa
亻亾个·亻乍`·	ho aa
cunt	kan
亻臼云·	kan
cunt	kant
亻臼云·亻天`·	kant
扌丩今·	gam6
扌力个·	lo2
扌力丁·	ling1
扌力么·	liu4
扌力甲·	liu4
扌文必·	mit1
扌比必·	bit1
扌大末·	dut1
扌督·	dem
扌大壬·	dem
扌比介·	baai2
扌丩么·	giu6
扌丩丁·	ging
扌天句·	teoi1
扌天么·	tiu1
扌此久·	cau1
扌夫丁·	fing6
扌夫亙·	fang4
躝車埋去	laan1 ce1 maai4 heoi3
⻊力万·⻊此旡·埋去	laan1 ce1 maai4 heoi3
⻊力么·	liu4
⻊力彡·	laam
foul	fau1
⻊夫久·	fau1
耳天正·	teng1
耳天丁·	ting1
Britain	bwit tan
比禾必·天云·	bwit tan
bullshit	bu sit
訁比乎·訁厶必·	bu sit
horny	hon ni
火亾干·火乃子·	hon ni
sexy	sek si
身厶尺·身厶子·	sek si
亾工·埋黎	hung3 maai4 lei4
猜·此丁·此今·	caai1 cing4 cam4
臼子·々·臼壬·々·	ki4 ki1 kem4 kem4
fe開	fe4 heoi1
夫旡·開	fe4 heoi1
疒亾𥘅·	heot1
口大夾·	dep1
wu weh	wu we
wu weh	wu1 we2
大丁¯·大居¯·	ding1 doe1
大丁·大居·	ding doe
厶句¯·大丐¯·	seoi1 doi1
衰·亻大丐·	seoi1 doi1
亾子·々·亾今·々·	hi4 hi1 ham4 ham4
cheap	cip1
貝此頁·	cip1
貝此頁·精	cip1 zing1
死·貝此頁·精	sei2 cip zing1
疒厶匃·	sot1
飠天子·	ti1
亾介·飠天子·	haai1 ti1
訁天么·訁天个·	tiu6 to1
釒文云·	man1
十·釒文云·	sap6 man1
鳥丩兮·	gai1
亻臼句·	keoi5
訁禾乍·	waa6
犭丩久·	gau2
approach	aa po cyu
乍`·并个·此仒·	aa po cyu
辶乍`·辶并个·辶此仒·	aa po cyu
Leibniz	laa baa nit zi
訁比円·	ben
gen	zjen1
玄丩央円·	zjen1
Mandelbrot set	man dou bwot set
transform	cwens fong
此禾円·厶`·夫王·	cwens fong
transform	cwens fom
此禾円·厶`·夫个·文`·	cwens fom
chicken	cik1 kan4
此夕¯·臼云⁼·	cik1 kan4
鳥此夕·鳥臼云·	cik1 kan4
此夕鳥·臼云鳥·	cik1 kan4
signal	sik1 nou4
厶夕¯·乃冇⁼·	sik1 nou4
礻厶夕·礻乃冇·	sik1 nou4
reject	wi6 zek1
禾子ﾞ·止尺¯·	wi6 zek1
訁禾子·訁止尺·	wi6 zek1
try	twaai1
try	caai1
listen	lit1 san4
力必¯·厶云⁼·	lit1 san4
耳力必·耳厶云·	lit1 san4
listen	lis1 san4
力子¯·厶`·厶云⁼·	lis1 san4
耳力子·耳厶`·耳厶云·	lis1 san4
free	fi1
夫子攵·	fi1
玄夫子·	fi1
羊夫子·	fi1
辶夫子·	fi1
free	fwi1
夫禾子攵·	fwi1
玄夫禾子·	fwi1
羊夫禾子·	fwi1
辶夫禾子·	fwi1
