得嘅	dak1 ge3
搞嘅	gaau2 ge3
噉都得嘅	gam2 dou1 dak1 ge3
噉嘅	gam2 ge3
咁啱嘅	gam2 ngaam1 koi3
咁啱嘅	gam3 ngaam1 ge3
嘅咩	ge3 me1
嘅呢	ge3 ne1
嘅啫	ge3 ze1
嘅嗻	ge3 ze1
嘅啫	ge3 ze6
嘅啫	ge3 zek1
係噉嘅	hai6 gam2 ge2
係噉嘅	hai6 gam2 ge3
係咪真嘅	hai6 mai6 zan1 ge3
好嘅	hou2 ge3
又係嘅	jau6 hai6 ge3
來嘅	lai4 ge3
嚟嘅	lei4 ge3
攞來攪嘅	lo2 lai4 gaau2 ge3
攞來講嘅啫	lo2 lai4 gong2 ge3 ze1
攞嚟攪嘅	lo2 lei4 gaau2 ge3
攞嚟講嘅啫	lo2 lei4 gong2 ge3 ze1
唔係嘅話	m4 hai6 ge3 waa2
唔係嘅話	m4 hai6 ge3 waa6
唔會嘅	m4 wui5 ge3
唔…就假嘅	m4 zau6 gaa2 ge3
食翻餐勁嘅	sik6 faan1 caan1 ging6 ge3
傻嘅	so4 ge3
搵來攪嘅	wan2 lai4 gaau2 ge3
搵嚟攪嘅	wan2 lei4 gaau2 ge3
真係衰嘅啫	zan1 hai6 seoi1 ge3 ze1
就假嘅	zau6 gaa2 ge3
值得嘅	zik6 dak1 ge3
