阿公嘅	aa3 gung1 ge3
賓虛噉嘅場面	ban1 heoi1 gam2 ge3 coeng4 min2
邊個嘅	bin1 go3 ge3
表情嘅	biu2 cing4 ge3
全部我嘅	cyun4 bou6 ngo5 ge3
弗嘅	fat1 ge3
忽嘅	fat1 ge3
苦瓜噉嘅面	fu2 gwaa1 gam2 ge3 min6
噉嘅嘢	gam2 ge3 je5
咁嘅嘢	gam3 ge3 je5
嘅嘢	ge2 je5
嘅歌	ge3 go1
嘅係	ge3 hai6
嘅人	ge3 jan4
嘅嘢	ge3 je5
嘅樣	ge3 joeng2
嘅你	ge3 nei5
嘅時	ge3 si4
嘅時候	ge3 si4 hau6
嘅事	ge3 si6
嘅話	ge3 waa2
嘅話	ge3 waa6
嘅字體	ge3 zi6 tai2
講嘅	gong2 ge3
好嘅唔靈醜嘅靈	hou2 ge3 m4 leng4 cau2 ge3 leng4
好嘅唔靈醜嘅靈	hou2 koi3 m4 ling4 cau2 koi3 ling4
熊貓噉嘅眼	hung4 maau1 gam2 ge3 ngaan5
一般嘅	jat1 bun1 ge3
佢哋嘅	keoi5 dei2 ge3
佢哋嘅	keoi5 dei6 ge3
佢哋自己嘅	keoi5 dei6 zi6 gei2 ge3
佢嘅	keoi5 ge3
佢自己嘅	keoi5 zi6 gei2 ge3
男嘅	naam4 ge3
你哋嘅	nei5 dei2 ge3
你哋嘅	nei5 dei6 ge3
你哋自己嘅	nei5 dei6 zi6 gei2 ge3
你嘅	nei5 ge3
你自己嘅	nei5 zi6 gei2 ge3
女嘅	neoi5 ge3
我哋嘅	ngo5 dei6 ge3
我哋自己嘅	ngo5 dei6 zi6 gei2 ge3
我嘅	ngo5 ge3
我自己嘅	ngo5 zi6 gei2 ge3
年初四噉嘅樣	nin4 co1 sei3 gam2 ge3 joeng2
山卡罅嘅地方	saan1 kaa3 laa3 ge3 dei6 fong1
新嘅	san1 ge3
先嘅	sin1 ge3
真嘅	zan1 ge3
蔗渣咁嘅價錢	ze3 zaa1 gam2 ge3 gaa3 cin4
整成…嘅習慣	zing2 sing4 ge3 zaap6 gwaan3
做嘅	zou6 ge3
