啤咩啊	be1 me1 aa3
幫咩	bong1 me1
黐咩筋	ci1 me1 gan1
唱咩歌	coeng3 me1 go1
叫咩	giu3 me1
叫咩名	giu3 me1 meng2
講咩	gong2 me1
關你咩事	gwaan1 nei5 me1 si6
係咩	hai6 me1
有咩冬瓜豆腐	jat1 me1 dung1 gwaa1 dau6 fu6
有咩	jau5 me1
有咩依郁	jau5 me1 ji1 juk1
有咩咿喐	jau5 me1 ji1 juk1
有咩用	jau5 me1 jung6
問咩	man6 me1
咩吖	me1 aa1
咩啊	me1 aa3
咩班	me1 baan1
咩筆	me1 bat1
咩車	me1 ce1
咩碟	me1 dip2
咩都	me1 dou1
咩都假	me1 dou1 gaa2
咩都唔驚	me1 dou1 m4 geng1
咩風吹你嚟	me1 fung1 ceoi1 nei5 lai4
咩叫	me1 giu3
咩歌	me1 go1
咩角色	me1 gok3 sik1
咩公司	me1 gung1 si1
咩鬼	me1 gwai2
咩人	me1 jan4
咩嘢	me1 je5
咩野	me1 je5
咩嘢嚟㗎	me1 je5 lai4 gaa3
咩嘢環境啊	me1 je5 waan4 ging2 aa3
咩意思	me1 ji3 si1
咩意思	me1 ji3 si3
咩樣	me1 joeng2
咩嚟	me1 lai4
咩嚟㗎	me1 lai4 gaa3
咩嚟先	me1 lai4 sin1
咩料	me1 liu2
咩名	me1 meng2
咩冇	me1 mou5
咩衫	me1 saam1
咩事	me1 si6
咩事啊	me1 si6 aa3
咩視頻	me1 si6 pan4
咩圖	me1 tou4
咩圖片	me1 tou4 pin2
咩話	me1 waa2
咩玩法	me1 waan2 faat3
咩環境	me1 waan4 ging2
咩環境啊	me1 waan4 ging2 aa3
咩喎	me1 wo3
咩字	me1 zi6
無咩	mou4 me1
無咩人	mou4 me1 jan4
冇咩	mou5 me1
冇咩大用	mou5 me1 daai6 jung6
冇咩人	mou5 me1 jan4
你講咩嘢話	nei5 gong2 me1 je5 waa2
你睇咩	nei5 tai2 me1
你做咩	nei5 zou6 me1
死咗都唔知咩事	sei2 zo2 dou1 m4 zi1 me1 si6
食咩	sik6 me1
睇咩	tai2 me1
同咩	tung4 me1
做緊咩	zou6 gan2 me1
做咩	zou6 me1
仲有咩	zung6 jau5 me1
